,Position,Job Type,Rate,Location,Recruiter,Reference,Description
0,Data Architect - SaaS/Workday/Finance - Coventry,Contract,£650 - £700 per Day,"Coventry, Warwickshire, UK",Crimson Limited,JS-CR/CR/014020,"Data Architect - SaaS/Workday/Finance - CoventryOUTSIDE IR35Data Architect required for a large organisation based in Coventry. The client are going through a Finance Transformation Programme and looking for someone who can understand and design a solution around data and integration requirements.Looking for the candidate to start ASAP and be able to travel to Coventry 1-2 days a week.Key Skills of the Role:Previous experience of data structures and how to deal with data transformation from Oracle systems to SaaS Workday.Awareness of governance processes and ability to work under pressure in SAFe agile teams.Extensive stakeholder management and strong communication skills.Create Data patterns for regulatory reporting data structuresLead, manage and deliver the Regulatory Reporting integration to Suade SaaS Solution.Support the Workday release train with integration design activities.Ownership of end-to-end Regulatory Reporting release train, providing support and guidance to internal and external development teams.Previously designed a solution around data and integration requirements.Interested!?! Please send your up to date CV to Kate Sadler at Crimson for immediate reviewNot interested?! Do you know anyone that might be? Refer a friend for this role to earn £250 worth of vouchers.Crimson are acting as an employment business in regards to this vacancy."
1,Data Architect,Permanent,Up to £80k per annum,"Solihull, West Midlands, UK",Harvey Nash,JS-BBBH78205,"Data ArchitectPermanentc/£80,000 p/a + bonus + uncapped annual leave + flexible working location policy + moreHybrid (in the main remote, office visits every 2 weeks)Solihull office locationAre you open to discussing you next permanent challenge within Data Architecture?We are currently working with a forward thinking organisation who are looking for a Data Architect to join them on a permanent basis, at what is an exciting time for them!This client boasts an excellent reputation as an innovative, employee focussed business who sit at the heart of providing cutting edge products and platform services to the energy and utilities sector.This opportunity will see you apply your specialisms within a high performing architecture practise within the data space.You will be responsible for embedding standards for data integration, modelling, data quality and data engineering across our technology platforms. They'll gain a deep understanding of customer needs, ensuring the appropriate data architecture in place to support user stories. They will also improve Products and Services, whilst driving efficiencies in the design, maintenance and administration of our technology platforms.The specialist/technical expertise required for the role (not all essential):Extensive thought leadership around Data Governance, Data Management and Data strategy.Extensive background working in IT application development.Data Architecture techniques in embedding technology and development standards/principles across teams.In depth Datamodelling/Data Warehouse techniques.Azure Architecture/TOGAF/Agile CertificationsExperience with Azure data platforms (ADLS2, Data Factory, Databricks, SQL Server, Synapse and Microservices (Kubernetes).Are you a good fit for this role?Apply within, AND/OR contact Joe @ Harvey Nash for more details!"
2,Data Analyst,Contract,£325 - £350 per Day,"Birmingham, UK",Harvey Nash,JS-BBBH78228,"Data analystLocation: BirminghamEmployment type: contract, (Hybrid, 1-2 times a week in the office)  Rate: £350/dayinside ir-35 (6-months)Harvey Nash is in a partnership with one of the well-known broadcasters who is searching for a Data Analyst. If you are good at supporting the people, gathering insights around diversity, and are confident about your skills it is for you.Key skills and experiences:Previous experience as a Data AnalystExperience in Data Visualization and Data CleaningSQL-whether to manage and store dataKnowledge in Statistical Programming (R or Python)Understanding of statistical analysis, and strong data visualization skills Other abilities that benefit you:Exposure to SAP, Excel, Access, TableauPrevious experience in any broadcast, TV/News fieldPlease, feel free to apply or send your CV directly to (see below) "
3,Data Analyst,Contract,£300 - 350 per Day + Inside IR35,"Birmingham, West Midlands, England, UK",Adalta Recruitment Solutions Ltd,JS7425," Data Analyst - HR, Insights, Diversity  Location: Birmingham, Hybrid Working  Salary: £350 per day  Inside IR35 Project Duration - 6 months Industry: Media, BroadcastTech Stack: Data Analysis, HR, Insights, SAP, Excel, TableauMy client is looking for an experienced Data Analyst to an existing project team helping the delivery of People/HR Services Projects, gathering insights around diversity & inclusion The Project They are seeking a skilled Data Analyst to work collaboratively with regional project teams to deliver workstreams across the organisation.This is a great opportunity to work within a large scale, well known household media business with interesting and challenging data projects.Desired SkillsExperience of working on Data focused, HR and People ProjectsSAP, Excel & Tableau experienceIf you are a skilled Data Analyst who is interested in this role then please apply below or contact me directly for further information."
4,Data Solutions Architect,Permanent,£70k - 80k per year + Extensive benefits,"Birmingham, West Midlands, England, UK",Cloud Decisions,JSKF/LM/810144,"Data Solutions ArchitectRemote role (UK based) Up to £80k + Benefits (Excellent benefits on top)  2 x Data Solution Architect rolesAs a Data Solutions Architect, you will have an enviable platform to express your talents in the architecture area, adding huge value. You will also have autonomy to improve + drive standards and deliver on healthy project cycles.As the successful Data Solutions Architect, you will have: Proven Data background as a Data Architect/Engineer/ConsultantExperience in delivering Big Data architecture and design solutionsSolid understanding of AzureSQL and NoSQL Database knowledgeDesign/implementation experience with any of the following (it is not expected to have experience with all): Azure Synapse, Azure SQL DB, Cosmos DB, Mongo DB, Redshift, S3, Stream Analytics, Kenesis, Azure Data Factory, IoT Hub, Azure ML Studio, Sage maker Modelling, Azure Data Lake Gen2, HD Insight.Understanding of Well Architected frameworks, security principles, and Agile/Waterfall project life cyclePower BI/Tableau skillsProven Management and leadership skills The following would be advantageous, but not necessary: SQL, PythonAzure DevOpsIoT design architectureMaster Data Management designArchitecture and cloud-related qualifications eg TOGAFAny relevant Microsoft Certifications (DP-203, DP-300 etc) As the successful Data Solutions Architect this is a great opportunity to work for an ambitious organisation who invest in every person that joins and has a genuinely great culture built on transparency, trust and enthusiasm.If you are an ambitious Data Architect/Consultant, with a passion to work with the latest technologies and coach/mentor more junior members of a Data Team, then click 'apply' now, as CVs are being reviewed as a priority.Get in touch with Kerry Foreman  (see below) "
5,Data Analyst,Contract,£550 per Day,"Midlands, UK",Opus Recruitment Solutions Ltd,JSCH-145,"Data Analyst | 3-6 Month initial contract | Outside IR35 | £550 per day | Hybrid Two day onsite BirminghamTo develop Business Requirements and viable Business solution designs, ensuring that the assets produced are appropriate for re-use in line with the business strategy and IT architecture. Providing the project with business and technical expertise, in order to shape the delivery, providing solution options and estimates to deliver business outcomes.  Key skillsets: SQLData visualizationData Cleaning Desired:PythonNoSQLSAPTableauThe contract will be 3-6 months, £550 per day outside IR35, in a hybrid (Two day on site occasionally in Birmingham) working environment. If you are interested, please send me a copy of your latest CV and expected day rate to (see below) Data Analyst | 3-6 Month initial contract | Outside IR35 | £550 per day | Hybrid Two day onsite Birmingham"
6,Data Consultant - Pricing,Permanent,£40k - £60k per annum + annual bonus and benefits,"West Midlands, UK",Modis,JS-MODIS01,"Data Consultant - PricingData Consultant/Pricing/Permanent/West MidlandsWe are working with a nationally recognised business who are recognised as one of the UK's top great places to work. They are now expanding their tram and are looking for an experienced Data Consultant to join their Pricing team.The Data Consultant role offers the exciting prospect in terms of career growth with responsibility for delivering a data pricing analysis for the business. The Data Consultant will deliver complex ad hoc data analysis and will monitor and report on data trends, making recommendations and managing activity to continuously improve data quality and integrity.There will be a blended approach to home/office working at my client's head office in Warwickshire.Key Experience required:Experience working in Pricing Team (with explicit accountability of pricing function).Effective translation of business need into data specifications and solutionsStrength in numeracy, analysis and problem solvingAbility to both work independently and collaborate successfully.Technical Skills required:SQL/SAS and MI experience in data cleaning (product and P+L function).Desirable Accountancy qualification (ACA or ACCA), MBA or FIA.This is a great opportunity to join a progressive company during an exciting period of change. The salary on offer for this position is £40,000 - £60,000 plus an excellent benefits package including a generous bonus scheme and very good group pension scheme to name a few.If you think the role is suitable to you, please apply ASAP to be considered.Data Consultant/Pricing/Permanent/West MidlandsModis International Ltd acts as an employment agency for permanent recruitment and an employment business for the supply of temporary workers in the UK. Modis Europe Ltd provide a variety of international solutions that connect clients to the best talent in the world. For all positions based in Switzerland, Modis Europe Ltd works with its licensed Swiss partner Accurity GmbH to ensure that candidate applications are handled in accordance with Swiss law. Both Modis International Ltd and Modis Europe Ltd are Equal Opportunities Employers. By applying for this role your details will be submitted to Modis International Ltd and/or Modis Europe Ltd. Our Candidate Privacy Information Statement which explains how we will use your information is available on the Modis website."
7,Data Network Engineer - ECS/IPAF - Eastwood,Contract,£13 - £14 per hour,"Eastwood, Heanor, UK",Roc Search Limited,JS-204131/001,"Data Network Engineer - ECS/IPAF - Eastwood Roc Search's client is looking for 2 x Data Network Engineer's to support them with a project they are currently working on. The contract will start on 27th June and will run for 3-6 months initially with a view to being extended.The relevant candidate must be able to go on-site, ideally with ECS or CSCS as well IPAF. Must also be okay with heights (21 metres) and have Orange PPE.The rate is in the region of £13 - £14/hour and falls outside IR35 so you can use your Ltd company.We are looking for:Networking experienceCablingECS/CSCSIPAFComfortable working with heightsJob Type: ContractStart Date: 27th JuneDuration: 3 - 6 months initialDate: £13 - £14/dayLocation: Eastwood "
8,Data QA Engineer,Permanent,£45k - £55k per annum,"Peterborough, UK",Method Resourcing Solutions Ltd,JS-HV16062022,"Data QA Engineer | SQL | Database Testing | Best Practices | Automation | Stakeholder Management | Digital Analytics | London | Cambridgeshire | Hybrid or Remote | £45,000 - £55,000Method Resourcing have partnered with super exciting very well know comparison site looking to hire a Data focused QA Engineer into their Data Engineering team who's passionate about creating quality as a culture and driving best practices with Amigo sessions, pairing, shifting in all directions type approach and is genuinely passionate about it.You'll need a strong analytical understanding to be able to identify anomalies in data, and ensure that all Digital Analytics tools and solutions are thoroughly tested and developed to a high standard. You'll be working closely with stakeholders as well as other members of the team so you'll need strong communication skills and the confidence to uphold quality.Experience:Strong Back End/database testingExtensive SQL commercial experienceStakeholder managementAnalytical mindsetExperience working within DataDefining and setting up Automated testsWorking closely with the EngineersIn-sprint testingDA Technologies:Google AnalyticsAdobe AnalyticsTealiumGoogle 360GA4Observe point Benefits:4-10% bonus dependent on seniorityPension match at 5%25 days annual leave rising with service (buy & sell)Life Assurance: Up to 4x base salary to dependents (option to flex up or down)Income protection 75% of base salaryPrivate Medical Insurance (for Seniors)Virtual GPFree annual Confidential health checkOn-site GymPlus plenty more flexible benefit options Our client are working on a hybrid model with 2-3 days a week in either their London or Cambridgeshire offices or you can be on a remote contract with occasional visits to office with all costs covered.If you're up for this challenge and have a passion for all things Data please get in contact with Hannah Vine at Method resourcing, applying to this advert, or calling.Data QA Engineer | SQL | Database Testing | Best Practices | Automation | Stakeholder Management | Digital Analytics | London | Cambridgeshire | Hybrid or Remote | £45,000 - £55,000"
9,Data & Lead BI | Hybrid | Basingstoke | £60K - £80K |,Permanent,£60k - 80k per annum,"Reading, Berkshire, UK",Opus Recruitment Solutions Ltd,JSSM-111,"Data & Lead BI | Hybrid | Basingstoke | £60K - £80K |Azure | Data Lakes | Data Factory | Data Bricks | Power BI | SQLNO SPONSORSHIP OR VISA OFFEREDI have partnered up with an award-winning beverage manufacture who have successfully won many awards in their specialising area, with over 100 years of history and expertise are seeking a Data BI Lead to drive their mission.Having met many people's desired taste especially Her Majesty's liking they continue to provide this breath taking experience across the world.As a Lead BI you will be coming on board to be part of a growing team and be involved in brand new projects with huge exposure to cutting edge technology!They are looking for someone who has experience in understanding, collecting and visualising data that can be utilised by the business for decision making and generating revenue.Current Tech stack: Power BI, Microsoft SQL BI Stack, Azure BI Stack Reporting & Analysis, T-SQL, SSIS, SQL and moreExpertise within a Data Engineering foundation and understanding in enterprise data warehousing.You will be leading and mentoring and growing the team responsible for owning the core data and BI capability, making decisions, empowering the organisation with intelligence and providing excellent commercial outcomes.Looking for someone with deep data management expertise, with SQL design and engineeringNO SPONSORSHIP OR VISA OFFEREDOffering up to £80,000 + 20% Bonus + 27 days annual holiday + 40% Discount on their products with £500 monthly spend limit + Health and Travel Insurance and moreData & Lead BI | Hybrid | Basingstoke | £60K - £80K |Azure | Data Lakes | Data Factory | Data Bricks | Power BI | SQL"
