Position,Job Type,Rate,Location,Recruiter,Reference,Description,Python,Power BI,SQL,R,Azure,Tableau,AWS,Google Analytics,Machine Learning
Data Architect,Contract,675.0,Coventry,Crimson Limited,JS-CR/CR/014020,"Data Architect - SaaS/Workday/Finance - CoventryOUTSIDE IR35Data Architect required for a large organisation based in Coventry. The client are going through a Finance Transformation Programme and looking for someone who can understand and design a solution around data and integration requirements.Looking for the candidate to start ASAP and be able to travel to Coventry 1-2 days a week.Key Skills of the Role:Previous experience of data structures and how to deal with data transformation from Oracle systems to SaaS Workday.Awareness of governance processes and ability to work under pressure in SAFe agile teams.Extensive stakeholder management and strong communication skills.Create Data patterns for regulatory reporting data structuresLead, manage and deliver the Regulatory Reporting integration to Suade SaaS Solution.Support the Workday release train with integration design activities.Ownership of end-to-end Regulatory Reporting release train, providing support and guidance to internal and external development teams.Previously designed a solution around data and integration requirements.Interested!?! Please send your up to date CV to Kate Sadler at Crimson for immediate reviewNot interested?! Do you know anyone that might be? Refer a friend for this role to earn £250 worth of vouchers.Crimson are acting as an employment business in regards to this vacancy.",0,0,0,0,0,0,0,0,0
Data Architect,Permanent,80000.0,Solihull,Harvey Nash,JS-BBBH78205,"Data ArchitectPermanentc/£80,000 p/a + bonus + uncapped annual leave + flexible working location policy + moreHybrid (in the main remote, office visits every 2 weeks)Solihull office locationAre you open to discussing you next permanent challenge within Data Architecture?We are currently working with a forward thinking organisation who are looking for a Data Architect to join them on a permanent basis, at what is an exciting time for them!This client boasts an excellent reputation as an innovative, employee focussed business who sit at the heart of providing cutting edge products and platform services to the energy and utilities sector.This opportunity will see you apply your specialisms within a high performing architecture practise within the data space.You will be responsible for embedding standards for data integration, modelling, data quality and data engineering across our technology platforms. They'll gain a deep understanding of customer needs, ensuring the appropriate data architecture in place to support user stories. They will also improve Products and Services, whilst driving efficiencies in the design, maintenance and administration of our technology platforms.The specialist/technical expertise required for the role (not all essential):Extensive thought leadership around Data Governance, Data Management and Data strategy.Extensive background working in IT application development.Data Architecture techniques in embedding technology and development standards/principles across teams.In depth Datamodelling/Data Warehouse techniques.Azure Architecture/TOGAF/Agile CertificationsExperience with Azure data platforms (ADLS2, Data Factory, Databricks, SQL Server, Synapse and Microservices (Kubernetes).Are you a good fit for this role?Apply within, AND/OR contact Joe @ Harvey Nash for more details!",0,0,1,0,1,0,0,0,0
Data Analyst,Contract,337.5,Birmingham,Harvey Nash,JS-BBBH78228,"Data analystLocation: BirminghamEmployment type: contract, (Hybrid, 1-2 times a week in the office)  Rate: £350/dayinside ir-35 (6-months)Harvey Nash is in a partnership with one of the well-known broadcasters who is searching for a Data Analyst. If you are good at supporting the people, gathering insights around diversity, and are confident about your skills it is for you.Key skills and experiences:Previous experience as a Data AnalystExperience in Data Visualization and Data CleaningSQL-whether to manage and store dataKnowledge in Statistical Programming (R or Python)Understanding of statistical analysis, and strong data visualization skills Other abilities that benefit you:Exposure to SAP, Excel, Access, TableauPrevious experience in any broadcast, TV/News fieldPlease, feel free to apply or send your CV directly to (see below) ",1,0,1,0,0,1,0,0,0
Data Analyst,Contract,325.0,Birmingham,Adalta Recruitment Solutions Ltd,JS7425," Data Analyst - HR, Insights, Diversity  Location: Birmingham, Hybrid Working  Salary: £350 per day  Inside IR35 Project Duration - 6 months Industry: Media, BroadcastTech Stack: Data Analysis, HR, Insights, SAP, Excel, TableauMy client is looking for an experienced Data Analyst to an existing project team helping the delivery of People/HR Services Projects, gathering insights around diversity & inclusion The Project They are seeking a skilled Data Analyst to work collaboratively with regional project teams to deliver workstreams across the organisation.This is a great opportunity to work within a large scale, well known household media business with interesting and challenging data projects.Desired SkillsExperience of working on Data focused, HR and People ProjectsSAP, Excel & Tableau experienceIf you are a skilled Data Analyst who is interested in this role then please apply below or contact me directly for further information.",0,0,0,0,0,1,0,0,0
Data Architect,Permanent,75000.0,Birmingham,Cloud Decisions,JSKF/LM/810144,"Data Solutions ArchitectRemote role (UK based) Up to £80k + Benefits (Excellent benefits on top)  2 x Data Solution Architect rolesAs a Data Solutions Architect, you will have an enviable platform to express your talents in the architecture area, adding huge value. You will also have autonomy to improve + drive standards and deliver on healthy project cycles.As the successful Data Solutions Architect, you will have: Proven Data background as a Data Architect/Engineer/ConsultantExperience in delivering Big Data architecture and design solutionsSolid understanding of AzureSQL and NoSQL Database knowledgeDesign/implementation experience with any of the following (it is not expected to have experience with all): Azure Synapse, Azure SQL DB, Cosmos DB, Mongo DB, Redshift, S3, Stream Analytics, Kenesis, Azure Data Factory, IoT Hub, Azure ML Studio, Sage maker Modelling, Azure Data Lake Gen2, HD Insight.Understanding of Well Architected frameworks, security principles, and Agile/Waterfall project life cyclePower BI/Tableau skillsProven Management and leadership skills The following would be advantageous, but not necessary: SQL, PythonAzure DevOpsIoT design architectureMaster Data Management designArchitecture and cloud-related qualifications eg TOGAFAny relevant Microsoft Certifications (DP-203, DP-300 etc) As the successful Data Solutions Architect this is a great opportunity to work for an ambitious organisation who invest in every person that joins and has a genuinely great culture built on transparency, trust and enthusiasm.If you are an ambitious Data Architect/Consultant, with a passion to work with the latest technologies and coach/mentor more junior members of a Data Team, then click 'apply' now, as CVs are being reviewed as a priority.Get in touch with Kerry Foreman  (see below) ",1,1,1,0,1,1,0,0,0
Data Analyst,Contract,550.0,Hybrid,Opus Recruitment Solutions Ltd,JSCH-145,"Data Analyst | 3-6 Month initial contract | Outside IR35 | £550 per day | Hybrid Two day onsite BirminghamTo develop Business Requirements and viable Business solution designs, ensuring that the assets produced are appropriate for re-use in line with the business strategy and IT architecture. Providing the project with business and technical expertise, in order to shape the delivery, providing solution options and estimates to deliver business outcomes.  Key skillsets: SQLData visualizationData Cleaning Desired:PythonNoSQLSAPTableauThe contract will be 3-6 months, £550 per day outside IR35, in a hybrid (Two day on site occasionally in Birmingham) working environment. If you are interested, please send me a copy of your latest CV and expected day rate to (see below) Data Analyst | 3-6 Month initial contract | Outside IR35 | £550 per day | Hybrid Two day onsite Birmingham",1,0,1,0,0,1,0,0,0
Data Engineer,Permanent,50000.0,Peterborough,Method Resourcing Solutions Ltd,JS-HV16062022,"Data QA Engineer | SQL | Database Testing | Best Practices | Automation | Stakeholder Management | Digital Analytics | London | Cambridgeshire | Hybrid or Remote | £45,000 - £55,000Method Resourcing have partnered with super exciting very well know comparison site looking to hire a Data focused QA Engineer into their Data Engineering team who's passionate about creating quality as a culture and driving best practices with Amigo sessions, pairing, shifting in all directions type approach and is genuinely passionate about it.You'll need a strong analytical understanding to be able to identify anomalies in data, and ensure that all Digital Analytics tools and solutions are thoroughly tested and developed to a high standard. You'll be working closely with stakeholders as well as other members of the team so you'll need strong communication skills and the confidence to uphold quality.Experience:Strong Back End/database testingExtensive SQL commercial experienceStakeholder managementAnalytical mindsetExperience working within DataDefining and setting up Automated testsWorking closely with the EngineersIn-sprint testingDA Technologies:Google AnalyticsAdobe AnalyticsTealiumGoogle 360GA4Observe point Benefits:4-10% bonus dependent on seniorityPension match at 5%25 days annual leave rising with service (buy & sell)Life Assurance: Up to 4x base salary to dependents (option to flex up or down)Income protection 75% of base salaryPrivate Medical Insurance (for Seniors)Virtual GPFree annual Confidential health checkOn-site GymPlus plenty more flexible benefit options Our client are working on a hybrid model with 2-3 days a week in either their London or Cambridgeshire offices or you can be on a remote contract with occasional visits to office with all costs covered.If you're up for this challenge and have a passion for all things Data please get in contact with Hannah Vine at Method resourcing, applying to this advert, or calling.Data QA Engineer | SQL | Database Testing | Best Practices | Automation | Stakeholder Management | Digital Analytics | London | Cambridgeshire | Hybrid or Remote | £45,000 - £55,000",0,0,1,0,0,0,0,1,0
Data Analyst,Permanent,60000.0,Slough,TD Group Limited,JS60002-589,"Data Quality Analyst - Permanent - Slough Our client is a highly regarded Global Financial services company. We are looking for an experienced Data Quality Analyst. Experience of tools such as Power BI, SQL and Excel are required. Knowledge of tools such as Trillium, Collibra & Tibco EBX or similar would be useful. The Data Quality Analyst will report directly to the Global Data Architect. You will work with the business to develop Data Quality solutions for a number of high-profile projects. Responsibilities will include:  Consult with Business and IT colleagues to lead understanding and improvement of the overall data quality Drive improvements in data quality and data governance by monitoring data quality metrics and data quality improvement plans to deliver continuous improvements to the business. Manage master data sets, troubleshooting data issues, identifying patterns and correlations among the various data sources, proposing and where appropriate implementing remediations and reporting progress Key areas for focus will be:  Data Quality Improvements Data Management & Analysis Digital Projects Support    Key Knowledge and skill areas are:  Advanced data management and database development skills Strong experience of Power BI and Excel Experience of SQL and reporting tools including data comparison and transformation Experience of technical project delivery eg systems development, data warehouse, BI, data migration Knowledge of modern data management tools and aptitude to learn new platforms Experience of using RDBMS and file-based data sources Expert communicator, experienced in building, maintaining and influencing relationships with a range of internal and external stakeholders at all levels Use negotiating and influencing skills to promote an idea or concept Analytical, precise, with an open questioning approach Lateral thinker with the ability to adapt quickly to new challenges DAMA and/or SCRUM certified data management professional Energetic with a passion to deliver and learn Fluent in business English with excellent written and verbal communication skills  This will be a permanent role. An excellent salary of circa £60,000 pa plus substantial bonus and benefits will be paid to the right candidate. TD Group Limited acts as an employment business for interim positions and an employment agency for permanent positions. TD Group is committed to equal opportunity and diversity.",0,1,1,0,0,0,0,0,0
Data Analyst,Permanent,37500.0,Windsor,Digital Skills Ltd,JSDATA ANALYST,"Data Analyst - Google Analytics - Digital Analytics Digital Skills are working closely with a holiday company, based in Windsor. The client provides a significant amount of direct retail commerce and are looking to grow their team with the addition of some excellent Web Analyst skills.  This role is suitable for a candidate that has a technical or mathematical focused degree, and/or has a technical background You will be a Digital Analyst helping to driving forward the expansion of our digital analytics. The client has a wealth of data at their fingertips and best-in-class software. You will have the responsibility for ensuring their digital tracking solutions are capturing the information needed to provide valuable insights across the business and drive innovation using data. Responsibilities This role is to drive growth and innovation across Marketing, Sales, Product, and Customer Service. You will be responsible for creating actionable reports and dashboards, supporting stakeholders in their decision making.  You will:  Providing ongoing insightful analysis of digital channel performance Push the capabilities of their analytics suite Ensure the necessary tagging, tracking and analytical functionality is managed Produce weekly/monthly reports and dashboards Work closely with Marketing, to understand business goals Use data analytics to drive evidence-based decision-making  Required Skills   Experience in Google Analytics In-depth understanding of the digital data collection Excellent knowledge of digital analytics Be competent in SQL Advanced user of Microsoft Excel  A demonstrable record of turning data insights into actionable solutions  The client is a vibrant and fun working environment, in the heart of Windsor. They offer flexible working with the role being a hybrid of office and remote working. You will be expected to be in the office at least three days per week and will be given full training and development in order to support your growth. You will be given an excellent salary for an entry level Digital Analyst and benefits include pension, healthcare plan, lots of holiday time and company travel discounts.  If this sounds of interest to you, please do not hesitate to apply. ",0,0,1,0,0,0,0,1,0
Data Analyst,Contract/Permanent,43000.0,Bracknell,Harvey Nash IT Recruitment UK,JS-BBBH78199,"Data AnalystBracknell (London area)Fixed term contract - 12 months£40,000 - £46,000 paHarvey Nash are pleased to be recruiting for one of our Clients within Financial Services, a reputable wealth management and professional services group. We are looking to speak with candidates, who are interested in Data Analyst role (12 month fixed term contract), to be based in Bracknell.In this role you will provide insightful analysis and data on client (customer) activity across business. This is an exciting opportunity to help develop the understanding of the client and take the business to the next level.Your key responsibilities:Developing understanding of new and prospective clients, particularly around acquisition, retention and churnBuilding and manage a roadmap of analytics and insights projects collaborating with the rest of the Insights team and other stakeholders to do soBuilding statistical models to be able to perform descriptive, inferential, and predictive analyticsTo be successful in this role, you should have:Deep demonstrable knowledge of SQL and Python (knowledge of R an advantage)Working knowledge of PowerBI an advantageDegree in Mathematics, Statistics, Business, Analytics, or relevant fieldProven experience as Data Analyst (minimum 3 years of related professional experience or relevant degree)Data-warehousing principles and best practicesKnowledge of Statistical analysis techniques an advantageIf you are interested in this role, please apply!",1,1,1,1,0,0,0,0,0
